,Title,Company,Salary,Date,Synopsis,Link,Location,Location 2,Descriptions
0,Vendedor,Maeq        ,None,Publicado hace un día,"Descripción de la Plaza/nASESOR DE VENTAS TELEFONICAS EQUIPO LIGERO DE CONSTRUCCION (revolvedoras, cortadoras y rotomartillos) .BUSCAMOS AUMENTAR...",http://www.buscojobs.mx/vendedor-ID-26364756,          Ecatepec de Morelos, Estado de México    ,"
Descripción de la Plaza/nASESOR DE VENTAS TELEFONICAS EQUIPO LIGERO DE CONSTRUCCION (revolvedoras, cortadoras y rotomartillos) .BUSCAMOS AUMENTAR NUESTRO EQUIPO CON PERSONAS QUE COMPARTAN NUESTRA ENERGIA Y ENTUSIASMO POR CREAR LA MEJOR EXPERIENCIA PARA NUESTRO CLIENTESREQUISITOSSEXO: FEMENINOESCOLARIDAD: PREPARATORIA O CARRERA TRUNCA EN ADMINISTRACION O MERCADOTECNIAEXPERIENCIA: NO NECESARIAGUSTO POR LA VENTASPROACTIVO Y SEPA TRABAJAR SOBRE OBJETIVOS, PERSISTENTE, TENAZFACILIDAD DE PALABRA VIVA ZONA ECATEPEC, CERCA VENTA DE CARPIOSUELDO BASE + COMISION, MAS BONOS.
"
1,Vendedor,Maeq        ,None,Publicado hace un día,"Descripción de la Plaza/nASESOR DE VENTAS TELEFONICAS EQUIPO LIGERO DE CONSTRUCCION (revolvedoras, cortadoras y rotomartillos) .BUSCAMOS AUMENTAR...",http://www.buscojobs.mx/vendedor-ID-26364756,          Ecatepec de Morelos, Estado de México    ,"
Descripción de la Plaza/nASESOR DE VENTAS TELEFONICAS EQUIPO LIGERO DE CONSTRUCCION (revolvedoras, cortadoras y rotomartillos) .BUSCAMOS AUMENTAR NUESTRO EQUIPO CON PERSONAS QUE COMPARTAN NUESTRA ENERGIA Y ENTUSIASMO POR CREAR LA MEJOR EXPERIENCIA PARA NUESTRO CLIENTESREQUISITOSSEXO: FEMENINOESCOLARIDAD: PREPARATORIA O CARRERA TRUNCA EN ADMINISTRACION O MERCADOTECNIAEXPERIENCIA: NO NECESARIAGUSTO POR LA VENTASPROACTIVO Y SEPA TRABAJAR SOBRE OBJETIVOS, PERSISTENTE, TENAZFACILIDAD DE PALABRA VIVA ZONA ECATEPEC, CERCA VENTA DE CARPIOSUELDO BASE + COMISION, MAS BONOS.
"
2,Director Of Operations,Empresa Maquiladora Lider,None,Publicado hace 2 días,"Job DeEscrituraion :Plan, supervise, coordinate and optimize the development of the operation, in order to guarantee customer satisfaction and...",http://www.buscojobs.mx/director-of-operations-ID-26362075,        -          Chihuahua    ,,"
Job DeEscrituraion :Plan, supervise, coordinate and optimize the development of the operation, in order to guarantee customer satisfaction and control of the operation.Main functions:- Develop the organizational structure to achieve the objectives set by the company.- To form its work team from its hiring, detection of necessities and pursuit of the formation plans.- To seek efficiency at a lower cost through analysis and improvement of processes and systems.- Motivate and energize your team for the best performance of your work.- Plan the objectives and strategies of your team.- Advice and direction of the Managers and Operations Supervisors- He actively participates in management improvement initiatives, contributing his talent to the team and sharing good practices.Skills in :- Development and implementation of operational procedures.- Analysis and strategic planning- 100% English- Decision-making skills
"
3,Empleo De Jefe De Mantenimiento Industrial,          Guanajuato    ,None,Publicado hace 2 días,Publicado hace 2 días,http://www.buscojobs.mx/empleo-de-jefe-de-mantenimiento-industrial-ID-26364144,,,"
- Escolaridad: Ing. Mecánico Eléctrico, ing. Industrial, Ing. Electrónica y automatización, Ing. Mecatrónica. TITULADOExperiencia:Administración de la función de mantenimiento en una unidad Industrial o similar al CEDIS 3 añosMantenimiento preventivo, correctivo, predictivo con personal externo e interno 5 añosAtención de reporteo de fallas 3 añosGeneración, control y gestión de presupuesto del área 5 añosGestión y elaboración de contratos de mantenimiento 5 añosGestión y control de indicadores del área 3 añosManejo de Gente y contratistas 5 añosSeguridad Industrial, conocimientos, cultura, 5s 3 añosIngeniería y administración de proyectos de infraestructura 3 añosInglés: Conversación 90% Comprobable, Lectura 90% Comprobable1. Administración, aplicación y control del proceso de mantenimiento preventivo, a través de los recursos humanos, económicos y procedimientos establecidos por el área del negocio, basado en especificaciones, zona geográfica y complejidad operativa, para asegurar un estado de conservación óptimo de equipos y considerando ampliar la vida útil de los activos, así como una continuidad operativa de forma confiable de las instalaciones del Cedis a través del proceso institucional de reporteo de fallas ATLO.2. Diseñar, controlar y negociar el presupuesto de mantenimiento, considerando la evaluación de infraestructura, depreciación de activos, banco de trabajo y proyectos locales y centrales, para contar con los recursos necesarios para un proceso adecuado de conservación e imagen.3. Evaluar sistemáticamente el estado de equipos e infraestructura del Cedis, a través del proceso de Check list de infraestructura y herramientas establecidas, detonando acciones correctivas y planes de trabajo. Dando visibilidad de la evolución de los pendientes, para identificar desviaciones al estándar de conservación y solucionarlas en tiempo y forma de acuerdo con las criticidades establecidas por proceso y generar planes de acción para trabajos de recuperación de infraestructura.4. Contratar servicios externos de mantenimiento para las categorías requeridas, mediante la aplicación del proceso y política de contratación y evaluación de proveedores de servicios especializados, para asegurar la correcta ejecución de mantenimiento preventivo, servicio de atención de fallas y conservación de equipos de alta calidad.5. Analizar, programar y ejecutar trabajos de recuperación de infraestructura y equipamiento que ha rebasado su vida útil, mediante la planeación y programación de los trabajos requeridos, para cumplir con un estándar de imagen y conservación, así como mantener controlada la depreciación de los activos.6. Asegurar el uso eficiente y rentable de los servicios públicos, a través de implementación de planes que contribuyan a su optimización, generando una cultura de aprovechamiento, para controlar el gasto y contribuir con la rentabilidad del negocio.7. Administrar el sistema Cedis Inteligente, mediante la supervisión continua de los indicadores que arrojan la herramienta, generando acciones correctivas requeridas, para mantener los parámetros de operación de los equipos dentro de los estándares de calidad y conservación del Cedis (temperatura, energía, operación de equipos, etc.).8. Administrar el proceso de identificación, reclamo y cumplimiento de garantías, mediante la aplicación del proceso y gestión con proveedores, para contribuir con la disminución de gastos por la reparación de equipos o instalaciones de reciente adquisición.9. Asegurar el apego a la política de sostenibilidad, mediante el proceso institucional establecido de manejo de residuos y desincorporación de equipos, para cumplir las reglamentaciones gubernamentales vigentes y mantener un equilibrio con la comunidad y el medio ambiente.Requerimientos- Educación mínima: Educación superior - Licenciatura- Años de experiencia: 5- Idiomas: Inglés- Edad: entre 35 y 50 años- Disponibilidad de viajar: Si- Disponibilidad de cambio de residencia: Si-
"
4,Empleo De Gerente De Operaciones,          Aguascalientes    ,None,Publicado hace 2 días,Publicado hace 2 días,http://www.buscojobs.mx/empleo-de-gerente-de-operaciones-ID-26364182,,,"
- Es el estratega que supervisa e inspecciona cada una de los subdepartamentos de Operaciones, estas deben estar produciendo en los niveles necesarios para el cumplimiento de las metas establecidas. Tendrá a su cargo la plantación operativa de la producción, para lograr la sinergia y eficiencia de la planta, las capacidades de las líneas, localizar, eliminar mermas y optimizar los procesos velando el cumplimiento de las fechas de producción. Se encargará de dirigir y dar seguimiento a los avances de cada proyecto. Deberá estar en continúa comunicación con el área de calidad para asegurar la satisfacción al cliente final y dar seguimiento a incidencias que se presenten para solución y eliminación de estas.Supervisará que se cumplan en tiempo y forma los mantenimientos preventivos de acuerdo a lo planeado. Deberá buscar junto con el departamento de Capital humano la capacitación más adecuada de su personal para estar en la continua búsqueda del crecimiento y desarrollo del capital humano asignado a su cargo. Velará por el cumplimiento de los costos estándar definidos por parte de Dirección General. Buscará aprovechar la capacidad instalada y sacar el máximo de provecho. Será el responsable de determinar las cargas de trabajo por procesos y por cada uno de los proyectos, controlar las hojas de ingeniería y control de costos. Desarrollará y mejorará los sistemas de manufactura a través de plantación y proyectos nuevos, considerando los requerimientos del cliente, la cadena de valor del producto o servicio y estándares de calidad para cumplir con los requisitos del diseño y productividad.Requerimientos- Educación mínima: Educación superior - Licenciatura- Años de experiencia: 5- Edad: entre 28 y 45 años- Conocimientos: Desarrollo de negocio, Desarrollo de producto- Licencias de conducir: A ,B- Disponibilidad de viajar: Si- Disponibilidad de cambio de residencia: No-
"
5,Empleo De Gerente De Estación,          Campeche    ,None,Publicado hace 2 días,Publicado hace 2 días,http://www.buscojobs.mx/empleo-de-gerente-de-estacion-ID-26364201,,,"
- Importante empresa del sector de servicios energéticos solicita:Gerente para planear, organizar y controlar las actividades de la empresa apoyando para generar mayor rentabilidad, realizar toma de decisiones en forma oportuna y confiable en beneficio de la operación de la empresa.Crear lineamientos de control, análisis financiero, supervisar cumplimiento de políticas, crear sinergia con las demás áreas operativas para lograr el objetivo.Gran empuje a la fuerza de ventasGrado Académico de Maestría: (Obligatorio)Administración - Economía y FinanzasEspecialización: (Deseable)Planeamiento Estratégico, Gestión de Proyectos, Finanzas,Sistemas de Gestión de la Calidad o afinesEdad:35 a 50 añosExperiencia:5 años, en roles de dirección y/o gerencia, de preferencia en empresas de servicios.Otros:Conocimiento de Inglés Avanzado (Deseable)Conocimiento de software comercial para trabajo de oficinaConozca la CiudadSueldo $25,000 pesos mensuales Brutos + Prestaciones de leyRequerimientos- Educación mínima: Educación superior - Maestría- Años de experiencia: 5- Edad: entre 30 y 50 años- Disponibilidad de viajar: No- Disponibilidad de cambio de residencia: No-
"
6,Gerente De Produccion (Manufactura),          Baja California    ,None,Publicado hace 2 días,Publicado hace 2 días,http://www.buscojobs.mx/gerente-de-produccion-manufactura-ID-26364228,,,"
EXPERIENCIA:· 3 años mínimo de experiencia TOTAL en el área de operaciones como Gerente o Jefe de Producción a cargo de plantilla.· Deseable haya laborado en Industria de costura cumpliendo objetivos en ambientes exigentes y cambiantes.· Control de los volúmenes diarios de producción y estrategias para cumplimiento de programas semanales y mensuales.· Reportes de producción diario, semanal y mensual· Dirigir e implementar políticas y objetivos para garantizar y maximizar las inversiones y aumentar la productividad.· Planeación y coordinación de producción.· Desarrollar maneras más eficientes de utilizar personas, maquinas,materiales e información y energía para hacer un producto.· Aumentar la productividad del área de producción.· Calculo de hora estándar.· Calculo de Labor cost.· Calculo de takt time.· Balanceo de lineas.· Diseño de celdas y flujo de material· Rutas· Estudio de requisitos del producto y diseño de fabricación.· Realizar cálculos matemáticos para determinar los procesos.· Cumplir con regulaciones legales, de seguridad e higiene· Crear diseños y procedimientos de muestreo.· Estimar los costos de producción.· Conocimiento de la gestión de la calidad (ISO 9001)· Manejo de personal· Manejo de Oracle o SapIDEAL:Certificaciones ISO/IPC/ASQ, six sigma y lean Manufacturing.*Experiencia en industria de manufactura con estándares y prácticas de clase mundialVisa vigenteDisponibilidad para viajar.Conocimientos:Lean Manufacturing.Ingeniero industrial TituladoExperiencia de 3 años mínimo en el puestoInglés fluidoHabilidades:Fuerte liderazgoAltamente adaptableProactivo.Organizado.Toma de Decisiones.Analítico.Actividades a realizar:· Revisión de diseños de ingeniería· Validación de procedimientos.· Introducción de nuevos productos.· Fabricación de manuales de nuevos productos.· Elaboración y verificación de BOM's (bill of materials, inventario completo de las materias primas, conjuntos, subconjuntos, piezas y componentes, así como las cantidades de cada uno de ellos necesarias para fabricar un producto)· Cambios de ingeniería.· Desarrollo de nuevos procesos de manufactura.· Liderear y asesorar a los equipos de acción raíz y de acción correctiva de alto rendimiento y funciones cruzadas· Gestionar el área industrial, involucrando métodos y procesos- Planificación, Programación y control de producción- Sugerir y participar en estudios para implementar nuevos procesos y mejoras en productos, tecnologías y/o diseños- Elaborar un plan anual de objetivos de área industrial e identificar las necesidades y oportunidades de expansión de las instalaciones industriales- Responder para la gestión del equipo de las áreas- Responder a los presupuestos de las áreas- Definir, monitorear y responder a los indicadores de gestión- Asegurar la interfaz con las otras áreas.· Excelente comunicación y orientación con la DirecciónOfrecemos:SUELDO MUY ATRACTIVO Y PRESTACIONES DE LEY
"
7,Empleo De Inbound Demand Generation,          Ciudad de México (Distrito Federal)    ,None,Publicado hace 2 días,Publicado hace 2 días,http://www.buscojobs.mx/empleo-de-inbound-demand-generation-ID-26364337,,,"
- Proved multitasking skills with the ability to handle multiple mediums of communication simultaneously including, phone, email and chat while working in a fast-paced environment. Trained and coached new representatives above normal daily duties through shadowing, reverse shadowing, and role playing across multiple businesses IT platforms.Responsibilities:- Achieved sales standards set for department by effectively communicating marketing campaigns and promotions to customers.- Provided quality customer service, providing requested information, and resolving complaints.- Create sales tracking tool using Excel, maintaining accurate records of monthly sales, and increasing call and data entry accuracy.- Answered inbound residential customers calls, covering a full range of our services, including obtaining all information necessary for resolution of transactions.- Maintained call and data entry accuracy levels between levels of 95% or better.- Answering questions, keying assistance, fielding supervisor calls for agents through virtual chat.- Assisted with quality assurance for orders in Post Sales Processor (PSP).- Effectively sold company products to a broad customer base and built great working relationships with the customers.- Provided any other assistance needed with adding new service or making changing to their existing service.- Builds business by identifying and selling prospects, maintaining relationships with clients.Requirements:- Bachelor’s or master’s degree with a concentration in marketing, promotions, advertising sales, or business administration preferred.- At least three years of Software sales experience.- One to three years of management experience.- Strategic leadership ability.- Presentation Skills.- Client Relationships.- Emphasizing Excellence.- Energy Level.- Negotiation.- Prospecting Skills.- Meeting Sales Goals.- Creativity.- Sales Planning.- Independence.- Motivation for Sales.Requerimientos- Educación mínima: Educación superior - Licenciatura- Años de experiencia: 2- Disponibilidad de viajar: No- Disponibilidad de cambio de residencia: No
"
8,Controllership Leader Lm,Ge Renewable Energy        ,None,Publicado hace 2 días,"Role Summary: Responsible for driving technical accounting compliance, financial & operational internal controls, process simplification...",http://www.buscojobs.mx/controllership-leader-lm-ID-26362610,          Monterrey, Nuevo León    ,"
Role Summary: Responsible for driving technical accounting compliance, financial & operational internal controls, process simplification, & operational excellence to deliver accurate actual financial reporting & analysis for LM US and CA. Intermediate level professional position requiring subject matter knowledge and experience, independency in problem solving & decision making.Essential Responsibilities:Responsible for general accounting and policy application for all cycles including revenue recognition, liabilities, inventory, receivables/payables, intercompany, fixed assets, etc. in LM US and CA.Lead a team of Accounting Analysts managing standardized accounting procedures in line with GE policies, local accounting regulations and US GAAP.Lead monthly and quarterly closing process of LM US and CA, oversee Closing and reporting processes.Review and approve account reconciliations for LM US and CA.Perform variance analysis on Balance Sheet reviews with local and regional Business leaders in LM US & CA.Drive quarterly rigor on financial filings approach (Financial Reporting package, track stat audit status, quarterly consolidation of financials including taking care of various cost allocations methodologies by Corporate, interdivisional transactions etc.).Communicate and explain accounting issues and evolving accounting guidance to the management.Oversee the execution of processes; confirming business rules and policies have been adequately followed, and that any exceptions are well-documented and appropriate for the event.Ensure timely filings of direct and indirect taxes in coordination with PWC and the stat/tax teams for US & CA.Drive compliance within accounting processes and ensure process controls are in place as appropriate.Provide technical application expertise in the execution of daily deliverables.Perform continuous assessment of the closing process to reduce timing to close financial periods.Build and maintain good working relationships with internal and external key resources.Drive strong performance management in the team through clear expectations, performance appraisals, and feedback.Proactively develop technical expertise and soft skills in the team through strong development plans and coaching.Drive employee engagement.Qualifications/Requirements:Bachelor’s degree in Accounting or Finance.A minimum of 5 years in relevant accounting or audit experience, including supervisory or team lead positions.Written and verbal fluency in English.Excellent analytical, organizational, decision-making, and communication skills.Proven ability to drive team performance with a focus on quantitative and qualitative metrics.Ability to anticipate and resolve challenges.Ability to manage large sets of data with excellent analytical skills.Effective problem identification and solution skills.Effective interpersonal skills and highly professional style when dealing with business clients.Compliance & controllership mindset.Highly result oriented, ready to take challenges and able to work under pressure.General knowledge of accounting principles.Ability to work independently or with a team to drive initiatives.Excellent problem-solving skills.Experience with development and reporting of process metrics.SAP, Oracle, ARM, Excellent Excel, Word, PowerPoint and Access skills a plus.Project Management skills a plus.Flexibility to work overtime to meet deadlines.Desired Characteristics:Strong oral and written communication skills. Strong interpersonal and leadership skills. Ability to influence others and lead small teams. Lead initiatives of moderate scope and impact. Ability to coordinate several projects simultaneously. Effective problem identification and solution skills. Proven analytical and organizational ability.About Us:GE (NYSE:GE) drives the world forward by tackling its biggest challenges. By combining world-class engineering with software and analytics, GE helps the world work more efficiently, reliably, and safely. GE people are global, diverse and dedicated, operating with the highest integrity and passion to fulfill GE’s mission and deliver for our customers. www.ge.comAdditional Locations:Mexico;Monterrey;
"
9,Packaging Engineer,Monster Energy        ,None,Publicado hace 2 días,"The position will be based in Mexico and will work closely with various departments within the Operations Department as well as the Quality, New...",http://www.buscojobs.mx/packaging-engineer-ID-26362614,          Ciudad de México (Distrito Federal)    ,,"
The position will be based in Mexico and will work closely with various departments within the Operations Department as well as the Quality, New Product Development and Brand Managers within the company. The Packaging Engineer will be supporting his manager to set up specifications for our products and ensure that our Co packers and Suppliers adhere to the Monster Specifications in México, Central America and the Caribbean.The Packaging Engineer will attend plant start-ups for Production of Products and Packaging. The Packaging Engineer will support his manager to qualify Suppliers throughout Latin America to ensure all Cans, bottles, trays, Cap, Shrink and all other packaging is produced to Monster standards.This position will gather information for all the packaging materials. This individual is part of the Operations Department and reports to the Engineering Manager. This position will be in direct communications with our packaging suppliers (vendors) in their respective territories including their Sales, Customer Service and manufacturing facilities. The Packaging Engineer will be supporting his manager to set up new plants and Specifications on new equipment.Essential Job Functions:Develop equipment specification and packaging standards with his manager for Asia.Manage and update the current and archived Can and packaging files.Assist in responding to customer complaints or inquires and develop action plans.Assist in developing packaging standards, best practices, and SOPsAssist with projects and communication.Assist with Weights and Measurements for Sap on all plants in their territory.Development of SOP’s and work instructions for all projects and safety proceduresMachine specs and settings are standardized to ensure quality packagingTravel to suppliers to evaluate processes and ensure integrity of MEC productOther territories/duties as assignedJob Requirements:Speak/read/write in EnglishStrong verbal communication and presentation skillsStrong analytical and problem-solving skillsAbility to work well in collaborative cross-functional team environmentsMust be well organizedProficiency in Microsoft PowerPoint, Excel, Word, Project, and OutlookAbility to work independently and with limited directionPreferred: Beverage Experience
"
